filename,num_tot_pages,num_cont_pages,num_words_full,num_words_cont,num_figures,num_tables,num_references,total_sentences,total_words,unique_words,avg_sentence_length,avg_word_length,lexical_diversity,flesch_kincaid_grade,handin_month,abstract_ts,Author,num_authors,Publication Year,primary_member_id_s,Title,Department_new
677dd05943aa4fa804822f4c_Training Machine-Learning Models in Multi-Party Computation (translated Træning af Machine-Learning Modeller i Multi-Par.txt,84,77,37665,36165,26,25,53.0,1565.0,30935.0,3306.0,19.77,5.05,0.107,11.8,December 2024,,"Zino, Frederik Munk|Barlebo, Sophus Christiansen",1,2024,677dd05943aa4fa804822f4c,Training Machine-Learning Models in Multi-Party Computation|Træning af Machine-Learning Modeller i Multi-Party Computation,DTU Compute
601a9356d9001d017146d33c_Optimization Based Motion Planning for Self-Driving Ecocar (translated Optimerings-baseret kørselsplanlægning til selv-k.txt,102,91,23050,22131,53,3,,1122.0,20435.0,2856.0,18.21,4.72,0.14,9.9,January 2026,,"He, Liguang",1,2021,601a9356d9001d017146d33c,Optimization Based Motion Planning for Self-Driving Ecocar|Optimerings-baseret kørselsplanlægning til selv-kørende økobil,DTU Electro
641e49da146d813c29dd2dfd_Multi-objective Design of a portable Vertical Axis wind turbine (translated Multi-objektiv design af en bærbar vindmølle.txt,106,77,26822,22295,57,16,37.0,1159.0,19791.0,3156.0,17.08,4.62,0.159,9.2,February 2023,,"Solé, Eduard Seguí",1,2023,641e49da146d813c29dd2dfd,Multi-objective Design of a portable Vertical Axis wind turbine|Multi-objektiv design af en bærbar vindmølle,DTU Construct
627e3c85efc9e1159e47dbf7_Comparative metagenomic analysis of antibiotic resistance genes in different poultry farm environments (translated Kompa.txt,66,54,16689,12758,21,10,86.0,611.0,12176.0,2316.0,19.93,5.32,0.19,12.9,February 2022,,"Toudahl, Tor Krøjer",1,2022,627e3c85efc9e1159e47dbf7,Comparative metagenomic analysis of antibiotic resistance genes in different  poultry farm environments|Komparativ metagenom analyse af antibiotikaresistensgener i forskellige typer fjerkræfarmer,DTU Health Tech
6402eb4cff9da93c459c8a46_Visual-Tactile Fusion for Intelligent Robotic Grasping (translated Visuel-taktil fusion til intelligent robotgreb).txt,82,61,25131,22847,37,13,41.0,981.0,20760.0,2817.0,21.16,4.86,0.136,11.7,February 2023,,"Meile, Nils",1,2023,6402eb4cff9da93c459c8a46,Visual-Tactile Fusion for Intelligent Robotic Grasping|Visuel-taktil fusion til intelligent robotgreb,DTU Electro
6402eb4cff9da93c459c8a46_Visual-Tactile Fusion for Intelligent Robotic Grasping (translated Visuel-taktil fusion til intelligent robotgreb).txt,82,61,25131,22847,37,13,41.0,981.0,20760.0,2817.0,21.16,4.86,0.136,11.7,February 2023,,"Meile, Nils",1,2023,6402eb4cff9da93c459c8a46,Visual-Tactile Fusion for Intelligent Robotic Grasping|Visuel-taktil fusion til intelligent robotgreb,DTU Electro
6130b11ad9001d017237204e_Experimental study of POM printing by FDM (translated Eksperimentel undersøgelse af POM printing af FDM).txt,74,63,20647,19597,67,17,43.0,855.0,18375.0,3231.0,21.49,5.05,0.176,12.2,August 2021,,"Kristinsson, Vilmundur Torfi",1,2021,6130b11ad9001d017237204e,Experimental study of POM printing by FDM|Eksperimentel undersøgelse af POM printing af FDM,DTU Construct
68ddc2c5f0d7e211e0fbb63b_Continuous Integration and Deployment of Edge AI Models on Zephyr OS (translated Kontinuerlig integration og implementer.txt,130,123,31819,30829,116,33,47.0,1551.0,27054.0,4137.0,17.44,5.44,0.153,12.1,September 2025,,"Istatiadis, Nikolaos",1,2025,68ddc2c5f0d7e211e0fbb63b,Continuous Integration and Deployment of Edge AI Models on Zephyr OS|Kontinuerlig integration og implementering af Edge AI-modeller pa Zephyr OS,DTU Compute
68ddc2c5f0d7e211e0fbb63b_Continuous Integration and Deployment of Edge AI Models on Zephyr OS (translated Kontinuerlig integration og implementer.txt,130,123,31819,30829,116,33,47.0,1551.0,27054.0,4137.0,17.44,5.44,0.153,12.1,September 2025,,"Istatiadis, Nikolaos",1,2025,68ddc2c5f0d7e211e0fbb63b,Continuous Integration and Deployment of Edge AI Models on Zephyr OS|Kontinuerlig integration og implementering af Edge AI-modeller pa Zephyr OS,DTU Compute
67e9dd7b8fc6d912f3da97b3_Motion Control of an Autonomous Underwater Vehicle for Maritime Surveillance (translated Bevægelseskontrol af et autonom.txt,81,76,26461,25321,58,5,51.0,1273.0,23240.0,3310.0,18.26,4.8,0.142,10.8,February 2025,,"Aiassa, Anastasia Costanza",1,2025,67e9dd7b8fc6d912f3da97b3,Motion Control of an Autonomous Underwater Vehicle for Maritime Surveillance|Bevægelseskontrol af et autonomt undervandsfartøj til maritim overvagning,DTU Electro
67e9dd7b8fc6d912f3da97b3_Motion Control of an Autonomous Underwater Vehicle for Maritime Surveillance (translated Bevægelseskontrol af et autonom.txt,81,76,26461,25321,58,5,51.0,1273.0,23240.0,3310.0,18.26,4.8,0.142,10.8,February 2025,,"Aiassa, Anastasia Costanza",1,2025,67e9dd7b8fc6d912f3da97b3,Motion Control of an Autonomous Underwater Vehicle for Maritime Surveillance|Bevægelseskontrol af et autonomt undervandsfartøj til maritim overvagning,DTU Electro
5d6a5600d9001d452b768643_A Massively Parallel and Scalable p-multigrid Solver for the Poisson problem (translated En Massiv Parallel og Skalerbar.txt,80,73,32123,30894,34,2,,1658.0,29049.0,3402.0,17.52,4.32,0.117,8.9,August 2019,,"Lorenz, Mathias Sorgenfri",1,2019,5d6a5600d9001d452b768643,A Massively Parallel and Scalable p-multigrid Solver for the Poisson problem|En Massiv Parallel og Skalerbar p-multigrid løser for løsning af et Poisson problem,DTU Compute
5d6a5600d9001d452b768643_A Massively Parallel and Scalable p-multigrid Solver for the Poisson problem (translated En Massiv Parallel og Skalerbar.txt,80,73,32123,30894,34,2,,1658.0,29049.0,3402.0,17.52,4.32,0.117,8.9,August 2019,,"Lorenz, Mathias Sorgenfri",1,2019,5d6a5600d9001d452b768643,A Massively Parallel and Scalable p-multigrid Solver for the Poisson problem|En Massiv Parallel og Skalerbar p-multigrid løser for løsning af et Poisson problem,DTU Compute
5d6a5600d9001d452b768643_A Massively Parallel and Scalable p-multigrid Solver for the Poisson problem (translated En Massiv Parallel og Skalerbar.txt,80,73,32123,30894,34,2,,1658.0,29049.0,3402.0,17.52,4.32,0.117,8.9,August 2019,,"Lorenz, Mathias Sorgenfri",1,2019,5d6a5600d9001d452b768643,A Massively Parallel and Scalable p-multigrid Solver for the Poisson problem|En Massiv Parallel og Skalerbar p-multigrid løser for løsning af et Poisson problem,DTU Compute
624ec686a615a9106e546390_Vision transformers for image registration (translated Vision transformere for billedregistrering).txt,82,77,20890,19382,30,9,63.0,971.0,19488.0,3100.0,20.07,4.99,0.159,11.8,May 2020,,"Pegios, Paraskevas",1,2022,624ec686a615a9106e546390,Vision transformers for image registration|Vision transformere for billedregistrering,DTU Compute
60fe9811d9001d01622e8dbd_Detection of atrial fibrillation using attention based deep learning (translated Pavisning af atrieflimren ved hjælp af .txt,75,71,17309,16350,19,17,,696.0,16006.0,2563.0,23.0,4.95,0.16,12.5,May 2021,,"Hansen, Bjorn",1,2021,60fe9811d9001d01622e8dbd,Detection of atrial fibrillation using attention based deep learning|Pavisning af atrieflimren ved hjælp af opmærksomhedsbaseret dyb læring,DTU Health Tech
66ac23d0336991e8f3030892_Innovative district heating and cooling systems (translated Innovative fjernvarme- og kølesystemer).txt,58,54,21750,20904,40,2,33.0,835.0,21381.0,2187.0,25.61,4.74,0.102,12.6,April 2026,,"Fournel, Lyse Clara",1,2024,66ac23d0336991e8f3030892,Innovative district heating and cooling systems|Innovative fjernvarme- og kølesystemer,DTU Construct
66ac23d0336991e8f3030892_Innovative district heating and cooling systems (translated Innovative fjernvarme- og kølesystemer).txt,58,54,21750,20904,40,2,33.0,835.0,21381.0,2187.0,25.61,4.74,0.102,12.6,April 2026,,"Fournel, Lyse Clara",1,2024,66ac23d0336991e8f3030892,Innovative district heating and cooling systems|Innovative fjernvarme- og kølesystemer,DTU Construct
688ab455e7e4c8010234d160_Automated Marine Gravity Surveys in Danish Waters Some Improvements to Modelling Software (translated Automatiske Søgrav.txt,61,58,18878,18767,30,3,,942.0,18289.0,2803.0,19.42,5.22,0.153,12.1,July 2025,,"Lund, Tor William Woodhams",1,2025,688ab455e7e4c8010234d160,Automated Marine Gravity Surveys in Danish Waters: Some Improvements to Modelling Software|Automatiske Søgravimetriske Togter i Danske Farvande: Nogle Forbedringer af Modelleringsværktøjer,DTU Space
68b7875d8c094f8f091f66ca_Eliminating Stealthy Supply-Chain Attacks via LLM-assisted Program Regeneration (translated Eleminering af skjulte forsy.txt,18,12,11946,8761,5,2,76.0,523.0,8911.0,2362.0,17.04,5.46,0.265,11.7,,,"Lamprou, Evangelos",1,2025,68b7875d8c094f8f091f66ca,Eliminating Stealthy Supply-Chain Attacks via LLM-assisted Program Regeneration|Eleminering af skjulte forsyningskædeangreb via LLM-assisteret programregenerering,DTU Compute
67297065e1de09a51d74f4dc_Learning causal effects from observational data exploring Invariant Causal Prediction and Hierarchical Bayesian Modellin.txt,60,48,16387,13947,22,0,,689.0,13316.0,2229.0,19.33,4.7,0.167,11.2,October 2024,,"Sand, Pernille Julie Viuff",1,2024,67297065e1de09a51d74f4dc,Learning causal effects from observational data: exploring Invariant Causal Prediction and Hierarchical Bayesian Modelling methods|Learning causal effects from observational data: exploring Invariant Causal Prediction and Hierarchical Bayesian Modelling methods,DTU Management
669da34e1082c2e8f37319c9_Accelerating the green transition of the built sector Scaling and systematising selective demolition (translated Fremsky.txt,124,117,37693,36360,65,5,,1344.0,31166.0,3333.0,23.19,5.17,0.107,13.4,June 2024,,"Maurer, Anna Rosa Elholm|Høgdal, Frederik",1,2024,669da34e1082c2e8f37319c9,Accelerating the green transition of the built sector: Scaling and systematising selective demolition|Fremskyndelse af den grønne omstilling af den byggede sektor: Skalering og systematisering af selektiv nedrivning,DTU Construct
669da34e1082c2e8f37319c9_Accelerating the green transition of the built sector Scaling and systematising selective demolition (translated Fremsky.txt,124,117,37693,36360,65,5,,1344.0,31166.0,3333.0,23.19,5.17,0.107,13.4,June 2024,,"Maurer, Anna Rosa Elholm|Høgdal, Frederik",1,2024,669da34e1082c2e8f37319c9,Accelerating the green transition of the built sector: Scaling and systematising selective demolition|Fremskyndelse af den grønne omstilling af den byggede sektor: Skalering og systematisering af selektiv nedrivning,DTU Construct
67fda3e9064ebc0a88fd88f7_Development of a diagnostic imaging system for field inspection solar photovoltaic PV plants (translated Udvikling af et.txt,110,68,27425,18615,95,19,52.0,910.0,16517.0,3253.0,18.15,4.88,0.197,10.5,March 2025,,"Elling, Carl Emil",1,2025,67fda3e9064ebc0a88fd88f7,Development of a diagnostic imaging system for field inspection solar photovoltaic PV plants|Udvikling af et diagnostisk billedbehandlingssystem til feltinspektion af solcelleanlæg,DTU Electro
60684d1ad9001d016653057e_Mathematical modeling of building thermal behaviour as an input to end-user communication interface (translated Matemati.txt,97,93,15085,14457,98,6,,896.0,14529.0,2220.0,16.22,5.03,0.153,10.7,October 1109,,"Carrion, Mario Padilla",1,2021,60684d1ad9001d016653057e,Mathematical modeling of building thermal behaviour as an input to end-user communication interface|Matematisk modellering af bygningers termiske egenskaber som input til brugergrænseflade,DTU Construct
60684d1ad9001d016653057e_Mathematical modeling of building thermal behaviour as an input to end-user communication interface (translated Matemati.txt,97,93,15085,14457,98,6,,896.0,14529.0,2220.0,16.22,5.03,0.153,10.7,October 1109,,"Carrion, Mario Padilla",1,2021,60684d1ad9001d016653057e,Mathematical modeling of building thermal behaviour as an input to end-user communication interface|Matematisk modellering af bygningers termiske egenskaber som input til brugergrænseflade,DTU Construct
660614dc3a7c9b1e2e179598_Characterization and modeling of curved photovoltaic panels for vehicle integration (translated Karakterisering og model.txt,104,91,37639,35965,60,11,73.0,1273.0,31993.0,4097.0,25.13,5.09,0.128,14.2,February 2024,,"Andersen, Jacob Kokholm",1,2024,660614dc3a7c9b1e2e179598,Characterization and modeling of curved photovoltaic panels for vehicle integration|Karakterisering og modellering af kurvede fotovoltaiske moduler til integration i køretøjer,DTU Electro
660614dc3a7c9b1e2e179598_Characterization and modeling of curved photovoltaic panels for vehicle integration (translated Karakterisering og model.txt,104,91,37639,35965,60,11,73.0,1273.0,31993.0,4097.0,25.13,5.09,0.128,14.2,February 2024,,"Andersen, Jacob Kokholm",1,2024,660614dc3a7c9b1e2e179598,Characterization and modeling of curved photovoltaic panels for vehicle integration|Karakterisering og modellering af kurvede fotovoltaiske moduler til integration i køretøjer,DTU Electro
67e5f702365ed41297f62c63_Stylometric Analysis for Authorship Attribution Evaluating Human and LLM-Generated Texts (translated Forfatterskabstilsk.txt,60,57,18790,18164,21,7,39.0,1006.0,17685.0,3246.0,17.58,5.72,0.184,13.1,February 2025,,"Kalota, Piotr",1,2025,67e5f702365ed41297f62c63,Stylometric Analysis for Authorship Attribution: Evaluating Human and LLM-Generated Texts|Forfatterskabstilskrivning via Stylometrisk Analyse: Evaluering af Menneskelige og LLM-genererede Tekster.,DTU Compute
67e5f702365ed41297f62c63_Stylometric Analysis for Authorship Attribution Evaluating Human and LLM-Generated Texts (translated Forfatterskabstilsk.txt,60,57,18790,18164,21,7,39.0,1006.0,17685.0,3246.0,17.58,5.72,0.184,13.1,February 2025,,"Kalota, Piotr",1,2025,67e5f702365ed41297f62c63,Stylometric Analysis for Authorship Attribution: Evaluating Human and LLM-Generated Texts|Forfatterskabstilskrivning via Stylometrisk Analyse: Evaluering af Menneskelige og LLM-genererede Tekster.,DTU Compute
67e5f702365ed41297f62c63_Stylometric Analysis for Authorship Attribution Evaluating Human and LLM-Generated Texts (translated Forfatterskabstilsk.txt,60,57,18790,18164,21,7,39.0,1006.0,17685.0,3246.0,17.58,5.72,0.184,13.1,February 2025,,"Kalota, Piotr",1,2025,67e5f702365ed41297f62c63,Stylometric Analysis for Authorship Attribution: Evaluating Human and LLM-Generated Texts|Forfatterskabstilskrivning via Stylometrisk Analyse: Evaluering af Menneskelige og LLM-genererede Tekster.,DTU Compute
60e2e8b2d9001d01667246c1_Comparative analysis of solar-driven air conditioning units based on vapour compression and ejector cycles.txt,68,63,20891,20163,35,33,,849.0,18132.0,2445.0,21.36,4.88,0.135,12.0,August 2012,,"Solé, Roger Padullés I",1,2021,60e2e8b2d9001d01667246c1,Comparative analysis of solar-driven air conditioning units based on vapour compression and ejector cycles|Comparative analysis of solar-driven air conditioning units based on vapour compression and ejector cycles,DTU Construct
60e2e8b2d9001d01667246c1_Comparative analysis of solar-driven air conditioning units based on vapour compression and ejector cycles.txt,68,63,20891,20163,35,33,,849.0,18132.0,2445.0,21.36,4.88,0.135,12.0,August 2012,,"Solé, Roger Padullés I",1,2021,60e2e8b2d9001d01667246c1,Comparative analysis of solar-driven air conditioning units based on vapour compression and ejector cycles|Comparative analysis of solar-driven air conditioning units based on vapour compression and ejector cycles,DTU Construct
66f0b1cc62fc6443d90f6460_Hydrodynamic modelling of two side-by-side barges under waves and current (translated Hydrodynamisk modellering af to si.txt,64,59,17417,15688,24,11,68.0,745.0,15097.0,2714.0,20.26,5.0,0.18,11.9,,,"Niu, Qicai",1,2024,66f0b1cc62fc6443d90f6460,Hydrodynamic modelling of two side-by-side barges under waves and current|Hydrodynamisk modellering af to side-by-side pramme under bølger og strøm,DTU Construct
68c9fc688af62f11e07cd9ae_Exploring different approaches to customize LLMs for text-to-code generation (translated Udforskning af forskellige tilg.txt,66,52,17756,14542,16,15,29.0,759.0,13715.0,2716.0,18.07,5.39,0.198,12.2,February 2025,,"Freire, Luís Miguel Ferreira",1,2025,68c9fc688af62f11e07cd9ae,Exploring different approaches to customize LLMs for text-to-code generation|Udforskning af forskellige tilgange til at tilpasse LLM'er til tekst-til-kode-generering,DTU Compute
66a82fa91c7b60e8f3abf809_Production and characterization of biochar for construction materials (translated Produktion og karakterisering af bioch.txt,66,62,19013,18476,40,22,38.0,972.0,18025.0,2330.0,18.54,5.08,0.129,11.3,September 2023,,"Stefánsdóttir, Sunna Liv",1,2024,66a82fa91c7b60e8f3abf809,Production and characterization of biochar for construction materials|Produktion og karakterisering af biochar til byggematerialer,DTU Chemical Engineering
66baa45215f057e8f3e5e929_Learning to Segment and Track any Object for Video Object Segmentation (translated Lær at segmentere og spore ethvert ob.txt,42,39,11313,11157,20,9,23.0,625.0,10007.0,1891.0,16.01,5.3,0.189,10.8,July 2024,,"Avramis, Alexandros",1,2024,66baa45215f057e8f3e5e929,Learning to Segment and Track any Object for Video Object Segmentation|Lær at segmentere og spore ethvert objekt til videoobjektsegmentering,DTU Compute
67a168e892a21615d23ec017_Domain Specific Processor for Weighted-Order Statistics Filtering (translated Domænespecifik processor til statistisk fi.txt,65,57,20671,19126,33,12,14.0,881.0,17328.0,2233.0,19.67,4.37,0.129,9.4,May 2025,,"Thomsen, August Lykke",1,2025,67a168e892a21615d23ec017,Domain Specific Processor for Weighted-Order Statistics Filtering|Domænespecifik processor til statistisk filtrering,DTU Compute
5d3d83a1d9001d32f558c21d_TSCH-over-LoRA Long Range and Reliable IPv6 Multi-hop Networks for the Internet of Things (translated TSCH-over-LoRa Lan.txt,69,65,15956,15290,22,10,29.0,598.0,14991.0,2565.0,25.07,4.64,0.171,12.1,June 2019,,"Haubro, Martin",1,2019,5d3d83a1d9001d32f558c21d,TSCH-over-LoRA: Long Range and Reliable IPv6 Multi-hop Networks for the Internet of Things|TSCH-over-LoRa: Langdistance og palidelige IPv6 multi-hop netværk for Internet of Things.,DTU Compute
64b3358a1cded991524d7813_Physics-informed Deep Generative Modeling for Magnetism (translated Fysik-informeret Deep Generative Modellering af Magn.txt,48,45,12978,12507,23,6,38.0,641.0,12023.0,2096.0,18.76,4.98,0.174,11.2,June 2023,,"Boa, Andrea Gonzalez",1,2023,64b3358a1cded991524d7813,Physics-informed Deep Generative Modeling for Magnetism|Fysik-informeret Deep Generative Modellering af Magnetisme,DTU Energy
64b3358a1cded991524d7813_Physics-informed Deep Generative Modeling for Magnetism (translated Fysik-informeret Deep Generative Modellering af Magn.txt,48,45,12978,12507,23,6,38.0,641.0,12023.0,2096.0,18.76,4.98,0.174,11.2,June 2023,,"Boa, Andrea Gonzalez",1,2023,64b3358a1cded991524d7813,Physics-informed Deep Generative Modeling for Magnetism|Fysik-informeret Deep Generative Modellering af Magnetisme,DTU Energy
63323f42d66b0a33f977a54f_Predicted Maintenance Running on a Microcontroller (translated Forudset vedligeholdelse afviklet pa en mikrocontroller).txt,70,67,22853,22486,30,11,32.0,989.0,21644.0,3085.0,21.88,4.71,0.143,11.4,August 2022,,"Illemann, Marco",1,2022,63323f42d66b0a33f977a54f,Predicted Maintenance Running on a Microcontroller|Forudset vedligeholdelse afviklet pa en mikrocontroller,DTU Compute
64486bbcf696db11c23ce127_Extraction of static information from images for a street GIS system (translated Ekstrahering af statiske vejdata fra vi.txt,87,70,19396,17157,30,1,49.0,891.0,15980.0,2326.0,17.93,4.88,0.146,10.8,March 2023,,"Raj, Avi",1,2023,64486bbcf696db11c23ce127,Extraction of static information from images for a street  GIS system|Ekstrahering af statiske vejdata fra video til et vej GIS system,DTU Electro
64486bbcf696db11c23ce127_Extraction of static information from images for a street GIS system (translated Ekstrahering af statiske vejdata fra vi.txt,87,70,19396,17157,30,1,49.0,891.0,15980.0,2326.0,17.93,4.88,0.146,10.8,March 2023,,"Raj, Avi",1,2023,64486bbcf696db11c23ce127,Extraction of static information from images for a street  GIS system|Ekstrahering af statiske vejdata fra video til et vej GIS system,DTU Electro
5f312bb8d9001d016b4e2426_A Personal Data Visualization Tool for Non-Expert Users (translated Et personligt data visualiseringsværktøj til ikke-ek.txt,48,43,9337,9140,30,2,,470.0,8585.0,1659.0,18.27,4.99,0.193,11.1,July 2020,,"Pegios, Fotios",1,2020,5f312bb8d9001d016b4e2426,A Personal Data Visualization Tool for Non-Expert Users|Et personligt data visualiseringsværktøj til ikke-ekspert brugere,DTU Compute
5f312bb8d9001d016b4e2426_A Personal Data Visualization Tool for Non-Expert Users (translated Et personligt data visualiseringsværktøj til ikke-ek.txt,48,43,9337,9140,30,2,,470.0,8585.0,1659.0,18.27,4.99,0.193,11.1,July 2020,,"Pegios, Fotios",1,2020,5f312bb8d9001d016b4e2426,A Personal Data Visualization Tool for Non-Expert Users|Et personligt data visualiseringsværktøj til ikke-ekspert brugere,DTU Compute
68a11dcfd5042601029ff4e7_Characterization and Molecular Analysis of Polycystic Ovary Syndrome (PCOS) Using Proteomics (translated Karakterisering.txt,105,72,32946,26318,25,50,,1234.0,26301.0,3926.0,21.31,5.61,0.149,14.5,June 2025,,"Lorenzen, Agnes Syshøj",1,2025,68a11dcfd5042601029ff4e7,Characterization and Molecular Analysis of Polycystic Ovary Syndrome (PCOS) Using Proteomics|Karakterisering og molekylær analyse af polycystisk ovariesyndrom (PCOS) ved hjælp af proteomics,DTU Health Tech
68a11dcfd5042601029ff4e7_Characterization and Molecular Analysis of Polycystic Ovary Syndrome (PCOS) Using Proteomics (translated Karakterisering.txt,105,72,32946,26318,25,50,,1234.0,26301.0,3926.0,21.31,5.61,0.149,14.5,June 2025,,"Lorenzen, Agnes Syshøj",1,2025,68a11dcfd5042601029ff4e7,Characterization and Molecular Analysis of Polycystic Ovary Syndrome (PCOS) Using Proteomics|Karakterisering og molekylær analyse af polycystisk ovariesyndrom (PCOS) ved hjælp af proteomics,DTU Health Tech
